image_name,runtime,ressource_limit,mean,std,konf_intervall_unten,konf_intervall_oben,abweichung,type,docker_abweichung
redis-test,default,default,"0,81","0,04","0,8","0,83","1,45",up,"100,0"
redis-test,default,max,"0,81","0,03","0,8","0,82","1,22",up,"100,0"
redis-test,default,min,"0,81","0,05","0,8","0,83","1,66",up,"100,0"
redis-test,kata,default,"1,3","0,03","1,29","1,31","0,76",up,"159,49"
redis-test,kata,max,"1,72","0,05","1,71","1,74","0,8",up,"213,38"
redis-test,kata,min,"1,35","0,04","1,34","1,36","0,82",up,"165,9"
redis-test,katafc,default,"2,57","0,06","2,55","2,58","0,7",up,"314,92"
redis-test,katafc,max,"2,54","0,06","2,52","2,55","0,68",up,"314,09"
redis-test,katafc,min,"2,51","0,04","2,5","2,52","0,45",up,"307,94"
redis-test,runnc,default,"0,94","0,04","0,93","0,96","1,27",up,"115,8"
redis-test,runnc,max,"0,96","0,12","0,93","0,99","3,53",up,"118,8"
redis-test,runnc,min,"0,95","0,05","0,94","0,96","1,39",up,"116,73"
redis-test,runsc,default,"0,86","0,05","0,84","0,87","1,76",up,"105,24"
redis-test,runsc,max,"0,85","0,03","0,84","0,86","1,15",up,"105,67"
redis-test,runsc,min,"0,86","0,04","0,85","0,88","1,47",up,"106,16"
tomcat,default,default,"0,8","0,04","0,79","0,81","1,47",up,"100,0"
tomcat,default,max,"0,82","0,04","0,81","0,83","1,48",up,"100,0"
tomcat,default,min,"0,81","0,04","0,8","0,83","1,39",up,"100,0"
tomcat,kata,default,"1,29","0,05","1,28","1,31","1,19",up,"161,76"
tomcat,kata,max,"1,73","0,06","1,72","1,75","0,99",up,"211,6"
tomcat,kata,min,"1,36","0,04","1,35","1,37","0,87",up,"166,89"
tomcat,katafc,default,"2,55","0,06","2,53","2,56","0,69",up,"319,09"
tomcat,katafc,max,"2,53","0,05","2,51","2,54","0,57",up,"308,44"
tomcat,katafc,min,"2,53","0,04","2,52","2,54","0,49",up,"311,08"
tomcat,runsc,default,"0,86","0,04","0,85","0,87","1,31",up,"107,94"
tomcat,runsc,max,"0,87","0,06","0,85","0,88","1,99",up,"105,83"
tomcat,runsc,min,"0,86","0,03","0,85","0,86","1,13",up,"105,04"
traefik,default,default,"0,81","0,05","0,8","0,82","1,81",up,"100,0"
traefik,default,max,"0,81","0,03","0,8","0,82","1,23",up,"100,0"
traefik,default,min,"0,8","0,04","0,79","0,81","1,55",up,"100,0"
traefik,kata,default,"1,3","0,05","1,28","1,31","1,1",up,"160,18"
traefik,kata,max,"1,7","0,05","1,69","1,72","0,9",up,"210,57"
traefik,kata,min,"1,35","0,04","1,33","1,36","0,87",up,"168,45"
traefik,katafc,default,"2,54","0,04","2,52","2,55","0,51",up,"313,26"
traefik,katafc,max,"2,54","0,06","2,53","2,56","0,7",up,"314,42"
traefik,katafc,min,"2,53","0,06","2,51","2,54","0,65",up,"316,26"
traefik,runsc,default,"0,85","0,03","0,84","0,86","1,16",up,"104,51"
traefik,runsc,max,"0,85","0,04","0,84","0,87","1,27",up,"105,59"
traefik,runsc,min,"0,85","0,04","0,83","0,86","1,3",up,"105,79"
ubuntu,default,default,"0,79","0,04","0,78","0,81","1,46",up,"100,0"
ubuntu,default,max,"0,8","0,04","0,79","0,81","1,45",up,"100,0"
ubuntu,default,min,"0,8","0,04","0,79","0,81","1,33",up,"100,0"
ubuntu,kata,default,"1,4","0,05","1,39","1,42","0,96",up,"176,58"
ubuntu,kata,max,"1,85","0,2","1,79","1,91","3,14",up,"230,74"
ubuntu,kata,min,"1,46","0,06","1,45","1,48","1,12",up,"182,42"
ubuntu,katafc,default,"2,78","0,2","2,72","2,83","2,01",up,"349,26"
ubuntu,katafc,max,"2,66","0,15","2,62","2,7","1,61",up,"331,27"
ubuntu,katafc,min,"2,58","0,05","2,57","2,6","0,54",up,"322,53"
ubuntu,runsc,default,"0,84","0,04","0,83","0,85","1,39",up,"106,05"
ubuntu,runsc,max,"0,85","0,04","0,83","0,86","1,39",up,"105,28"
ubuntu,runsc,min,"0,84","0,04","0,83","0,85","1,28",up,"104,89"
