"runtime","image_name","ressource_limit","repeat","gflops","filepath"
"katafc","linpack","max","21","1.2026e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_21/linpack.txt"
"katafc","linpack","max","22","1.2020e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_22/linpack.txt"
"katafc","linpack","max","23","1.2016e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_23/linpack.txt"
"katafc","linpack","max","24","-1.0","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_24/linpack.txt"
"katafc","linpack","max","25","1.2015e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_25/linpack.txt"
"katafc","linpack","max","26","1.2032e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_26/linpack.txt"
"katafc","linpack","max","27","1.2032e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_27/linpack.txt"
"katafc","linpack","max","28","1.2012e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_28/linpack.txt"
"katafc","linpack","max","29","1.2027e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_29/linpack.txt"
"katafc","linpack","max","3","1.2027e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_3/linpack.txt"
"katafc","linpack","max","30","1.2034e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_30/linpack.txt"
"katafc","linpack","max","31","1.2014e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_31/linpack.txt"
"katafc","linpack","max","32","1.2029e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_32/linpack.txt"
"katafc","linpack","max","33","1.2030e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_33/linpack.txt"
"katafc","linpack","max","34","1.2009e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_34/linpack.txt"
"katafc","linpack","max","35","1.2025e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_35/linpack.txt"
